dbname
sp|A0AVT1|UBA6_HUMAN
sp|A6NFA0|S31F3_HUMAN
sp|O00186|STXB3_HUMAN
sp|O00264|PGRC1_HUMAN
sp|O00400|ACATN_HUMAN
sp|O00469|PLOD2_HUMAN
sp|O00629|IMA3_HUMAN
sp|O14494|PLPP1_HUMAN
sp|O14556|G3PT_HUMAN
sp|O14907|TX1B3_HUMAN
sp|O15067|PUR4_HUMAN
sp|O15155|BET1_HUMAN
sp|O15162|PLS1_HUMAN
sp|O15355|PPM1G_HUMAN
sp|O43292|GPAA1_HUMAN
sp|O60716|CTND1_HUMAN
sp|O75347|TBCA_HUMAN
sp|O75487|GPC4_HUMAN
sp|O75525|KHDR3_HUMAN
sp|O75534|CSDE1_HUMAN
sp|O75608|LYPA1_HUMAN
sp|O75691|UTP20_HUMAN
sp|O75695|XRP2_HUMAN
sp|O94911|ABCA8_HUMAN
sp|O95084|PRS23_HUMAN
sp|O95167|NDUA3_HUMAN
sp|O95169|NDUB8_HUMAN
sp|O95249|GOSR1_HUMAN
sp|O95319|CELF2_HUMAN
sp|O95456|PSMG1_HUMAN
sp|O95478|NSA2_HUMAN
sp|O95571|ETHE1_HUMAN
sp|O95661|DIRA3_HUMAN
sp|O95721|SNP29_HUMAN
sp|P00167|CYB5_HUMAN
sp|P00966|ASSY_HUMAN
sp|P01889|HLAB_HUMAN
sp|P02545|LMNA_HUMAN
sp|P02792|FRIL_HUMAN
sp|P03956|MMP1_HUMAN
sp|P04004|VTNC_HUMAN
sp|P04062|GBA1_HUMAN
sp|P04271|S100B_HUMAN
sp|P04350|TBB4A_HUMAN
sp|P04406|G3P_HUMAN
sp|P04844|RPN2_HUMAN
sp|P04921|GLPC_HUMAN
sp|P05161|ISG15_HUMAN
sp|P05362|ICAM1_HUMAN
sp|P05413|FABPH_HUMAN
sp|P05997|CO5A2_HUMAN
sp|P06753|TPM3_HUMAN
sp|P07237|PDIA1_HUMAN
sp|P07305|H10_HUMAN
sp|P07339|CATD_HUMAN
sp|P08133|ANXA6_HUMAN
sp|P08708|RS17_HUMAN
sp|P08727|K1C19_HUMAN
sp|P09038|FGF2_HUMAN
sp|P09543|CN37_HUMAN
sp|P10321|HLAC_HUMAN
sp|P11021|BIP_HUMAN
sp|P11279|LAMP1_HUMAN
sp|P11908|PRPS2_HUMAN
sp|P12236|ADT3_HUMAN
sp|P12277|KCRB_HUMAN
sp|P12524|MYCL_HUMAN
sp|P13164|IFM1_HUMAN
sp|P13473|LAMP2_HUMAN
sp|P13995|MTDC_HUMAN
sp|P15502|ELN_HUMAN
sp|P16989|YBOX3_HUMAN
sp|P19320|VCAM1_HUMAN
sp|P19525|E2AK2_HUMAN
sp|P20933|ASPG_HUMAN
sp|P21108|PRPS3_HUMAN
sp|P21127|CD11B_HUMAN
