group1,group2,meandiff,p-adj,lower,upper,reject,dbname
B,K,0.0,0.0051,0.0,0.0001,True,sp|O75608|LYPA1_HUMAN
A,B,0.0,0.0201,0.0,0.0,True,sp|O75691|UTP20_HUMAN
A,K,-0.0,0.6004,-0.0,0.0,False,sp|O75691|UTP20_HUMAN
B,K,-0.0,0.0024,-0.0,-0.0,True,sp|O75691|UTP20_HUMAN
A,B,-0.0,0.0016,-0.0001,-0.0,True,sp|O75695|XRP2_HUMAN
A,K,-0.0,0.7941,-0.0,0.0,False,sp|O75695|XRP2_HUMAN
B,K,0.0,0.008,0.0,0.0001,True,sp|O75695|XRP2_HUMAN
A,B,-0.0,0.5388,-0.0,0.0,False,sp|O94911|ABCA8_HUMAN
A,K,0.0,0.0002,0.0,0.0001,True,sp|O94911|ABCA8_HUMAN
B,K,0.0,0.0001,0.0,0.0001,True,sp|O94911|ABCA8_HUMAN
A,B,-0.0001,0.0002,-0.0001,-0.0,True,sp|O95084|PRS23_HUMAN
A,K,-0.0001,0.025,-0.0001,-0.0,True,sp|O95084|PRS23_HUMAN
B,K,0.0,0.3707,-0.0,0.0001,False,sp|O95084|PRS23_HUMAN
A,B,0.0,0.84,-0.0001,0.0001,False,sp|O95167|NDUA3_HUMAN
A,K,-0.0001,0.006,-0.0002,-0.0,True,sp|O95167|NDUA3_HUMAN
B,K,-0.0001,0.0015,-0.0002,-0.0,True,sp|O95167|NDUA3_HUMAN
A,B,0.0,0.746,-0.0,0.0001,False,sp|O95169|NDUB8_HUMAN
A,K,-0.0001,0.0101,-0.0001,-0.0,True,sp|O95169|NDUB8_HUMAN
B,K,-0.0001,0.0013,-0.0001,-0.0,True,sp|O95169|NDUB8_HUMAN
A,B,-0.0,0.3849,-0.0001,0.0,False,sp|O95249|GOSR1_HUMAN
A,K,0.0,0.0389,0.0,0.0001,True,sp|O95249|GOSR1_HUMAN
B,K,0.0001,0.0014,0.0,0.0001,True,sp|O95249|GOSR1_HUMAN
A,B,-0.0,0.0001,-0.0001,-0.0,True,sp|O95319|CELF2_HUMAN
A,K,-0.0,0.0241,-0.0,-0.0,True,sp|O95319|CELF2_HUMAN
B,K,0.0,0.0085,0.0,0.0,True,sp|O95319|CELF2_HUMAN
A,B,-0.0,0.0474,-0.0,-0.0,True,sp|O95456|PSMG1_HUMAN
A,K,0.0,0.1059,-0.0,0.0,False,sp|O95456|PSMG1_HUMAN
B,K,0.0,0.0001,0.0,0.0001,True,sp|O95456|PSMG1_HUMAN
A,B,0.0,0.0055,0.0,0.0,True,sp|O95478|NSA2_HUMAN
A,K,0.0,0.9923,-0.0,0.0,False,sp|O95478|NSA2_HUMAN
B,K,-0.0,0.0007,-0.0,-0.0,True,sp|O95478|NSA2_HUMAN
A,B,-0.0001,0.0014,-0.0002,-0.0,True,sp|O95571|ETHE1_HUMAN
A,K,-0.0,0.1413,-0.0001,0.0,False,sp|O95571|ETHE1_HUMAN
B,K,0.0,0.1657,-0.0,0.0001,False,sp|O95571|ETHE1_HUMAN
A,B,0.0,0.0,0.0,0.0,True,sp|O95661|DIRA3_HUMAN
A,K,0.0,0.8794,-0.0,0.0,False,sp|O95661|DIRA3_HUMAN
B,K,-0.0,0.0,-0.0,-0.0,True,sp|O95661|DIRA3_HUMAN
A,B,0.0001,0.0021,0.0,0.0001,True,sp|O95721|SNP29_HUMAN
A,K,0.0,0.4427,-0.0,0.0001,False,sp|O95721|SNP29_HUMAN
B,K,-0.0,0.0499,-0.0001,-0.0,True,sp|O95721|SNP29_HUMAN
A,B,-0.0001,0.2095,-0.0001,0.0,False,sp|P00167|CYB5_HUMAN
A,K,0.0001,0.0599,-0.0,0.0002,False,sp|P00167|CYB5_HUMAN
B,K,0.0001,0.0006,0.0001,0.0002,True,sp|P00167|CYB5_HUMAN
A,B,0.0004,0.0001,0.0002,0.0005,True,sp|P00966|ASSY_HUMAN
A,K,0.0,0.9713,-0.0001,0.0002,False,sp|P00966|ASSY_HUMAN
B,K,-0.0004,0.0002,-0.0005,-0.0002,True,sp|P00966|ASSY_HUMAN
A,B,-0.0001,0.0008,-0.0002,-0.0001,True,sp|P01889|HLAB_HUMAN
A,K,-0.0002,0.0,-0.0003,-0.0001,True,sp|P01889|HLAB_HUMAN
B,K,-0.0,0.4642,-0.0001,0.0,False,sp|P01889|HLAB_HUMAN
A,B,-0.0002,0.0009,-0.0003,-0.0001,True,sp|P02545|LMNA_HUMAN
A,K,-0.0001,0.3969,-0.0002,0.0,False,sp|P02545|LMNA_HUMAN
B,K,0.0001,0.0319,0.0,0.0002,True,sp|P02545|LMNA_HUMAN
A,B,-0.0,0.9605,-0.0001,0.0,False,sp|P02792|FRIL_HUMAN
A,K,0.0001,0.004,0.0,0.0001,True,sp|P02792|FRIL_HUMAN
B,K,0.0001,0.0007,0.0,0.0001,True,sp|P02792|FRIL_HUMAN
A,B,-0.0001,0.0012,-0.0001,-0.0,True,sp|P03956|MMP1_HUMAN
A,K,-0.0,0.0587,-0.0001,0.0,False,sp|P03956|MMP1_HUMAN
B,K,0.0,0.112,-0.0,0.0001,False,sp|P03956|MMP1_HUMAN
A,B,-0.0,0.0067,-0.0,-0.0,True,sp|P04004|VTNC_HUMAN
A,K,-0.0,0.0,-0.0,-0.0,True,sp|P04004|VTNC_HUMAN
B,K,-0.0,0.0815,-0.0,0.0,False,sp|P04004|VTNC_HUMAN
A,B,-0.0001,0.0002,-0.0002,-0.0001,True,sp|P04062|GBA1_HUMAN
A,K,-0.0001,0.0758,-0.0001,0.0,False,sp|P04062|GBA1_HUMAN
B,K,0.0001,0.0735,-0.0,0.0001,False,sp|P04062|GBA1_HUMAN
A,B,0.0001,0.452,-0.0001,0.0002,False,sp|P04271|S100B_HUMAN
A,K,-0.0001,0.0079,-0.0002,-0.0,True,sp|P04271|S100B_HUMAN
B,K,-0.0002,0.0005,-0.0003,-0.0001,True,sp|P04271|S100B_HUMAN
A,B,0.0003,0.0026,0.0002,0.0005,True,sp|P04350|TBB4A_HUMAN
A,K,0.0004,0.0012,0.0002,0.0006,True,sp|P04350|TBB4A_HUMAN
B,K,0.0001,0.653,-0.0001,0.0002,False,sp|P04350|TBB4A_HUMAN
A,B,0.0008,0.0009,0.0003,0.0013,True,sp|P04406|G3P_HUMAN
A,K,0.0003,0.3292,-0.0002,0.0008,False,sp|P04406|G3P_HUMAN
B,K,-0.0005,0.0425,-0.001,-0.0,True,sp|P04406|G3P_HUMAN
A,B,-0.0001,0.0,-0.0001,-0.0001,True,sp|P04844|RPN2_HUMAN
A,K,-0.0,0.0447,-0.0001,-0.0,True,sp|P04844|RPN2_HUMAN
B,K,0.0001,0.0195,0.0,0.0001,True,sp|P04844|RPN2_HUMAN
A,B,-0.0,0.0005,-0.0,-0.0,True,sp|P04921|GLPC_HUMAN
A,K,-0.0,0.0029,-0.0,-0.0,True,sp|P04921|GLPC_HUMAN
B,K,0.0,0.2016,-0.0,0.0,False,sp|P04921|GLPC_HUMAN
A,B,-0.0002,0.1141,-0.0004,0.0,False,sp|P05161|ISG15_HUMAN
A,K,-0.0005,0.0,-0.0007,-0.0003,True,sp|P05161|ISG15_HUMAN
B,K,-0.0003,0.0112,-0.0005,-0.0001,True,sp|P05161|ISG15_HUMAN
A,B,-0.0001,0.0018,-0.0001,-0.0,True,sp|P05362|ICAM1_HUMAN
A,K,-0.0,0.2269,-0.0001,0.0,False,sp|P05362|ICAM1_HUMAN
B,K,0.0,0.1196,-0.0,0.0001,False,sp|P05362|ICAM1_HUMAN
A,B,0.0,0.2055,-0.0,0.0001,False,sp|P05413|FABPH_HUMAN
A,K,0.0001,0.0,0.0001,0.0002,True,sp|P05413|FABPH_HUMAN
B,K,0.0001,0.0,0.0001,0.0002,True,sp|P05413|FABPH_HUMAN
A,B,-0.0,0.0013,-0.0001,-0.0,True,sp|P05997|CO5A2_HUMAN
A,K,-0.0,0.0366,-0.0001,-0.0,True,sp|P05997|CO5A2_HUMAN
B,K,0.0,0.4436,-0.0,0.0,False,sp|P05997|CO5A2_HUMAN
A,B,0.0001,0.0006,0.0,0.0002,True,sp|P06753|TPM3_HUMAN
A,K,0.0001,0.0033,0.0,0.0002,True,sp|P06753|TPM3_HUMAN
B,K,-0.0,0.8231,-0.0001,0.0001,False,sp|P06753|TPM3_HUMAN
A,B,-0.0003,0.0,-0.0004,-0.0002,True,sp|P07237|PDIA1_HUMAN
A,K,0.0,0.6277,-0.0001,0.0002,False,sp|P07237|PDIA1_HUMAN
B,K,0.0003,0.0,0.0002,0.0005,True,sp|P07237|PDIA1_HUMAN
A,B,0.0,0.2517,-0.0,0.0001,False,sp|P07305|H10_HUMAN
A,K,-0.0,0.0627,-0.0001,0.0,False,sp|P07305|H10_HUMAN
B,K,-0.0001,0.0009,-0.0001,-0.0,True,sp|P07305|H10_HUMAN
A,B,-0.0001,0.0163,-0.0002,-0.0,True,sp|P07339|CATD_HUMAN
A,K,0.0,0.7511,-0.0001,0.0001,False,sp|P07339|CATD_HUMAN
B,K,0.0001,0.0023,0.0,0.0003,True,sp|P07339|CATD_HUMAN
A,B,0.0001,0.0734,-0.0,0.0001,False,sp|P08133|ANXA6_HUMAN
A,K,-0.0,0.2466,-0.0001,0.0,False,sp|P08133|ANXA6_HUMAN
B,K,-0.0001,0.001,-0.0002,-0.0,True,sp|P08133|ANXA6_HUMAN
A,B,0.0002,0.0002,0.0001,0.0003,True,sp|P08708|RS17_HUMAN
A,K,0.0001,0.0116,0.0,0.0002,True,sp|P08708|RS17_HUMAN
B,K,-0.0001,0.331,-0.0002,0.0,False,sp|P08708|RS17_HUMAN
A,B,-0.0001,0.0178,-0.0002,-0.0,True,sp|P08727|K1C19_HUMAN
A,K,-0.0002,0.0003,-0.0002,-0.0001,True,sp|P08727|K1C19_HUMAN
B,K,-0.0001,0.0313,-0.0001,-0.0,True,sp|P08727|K1C19_HUMAN
A,B,-0.0,0.9998,-0.0,0.0,False,sp|P09038|FGF2_HUMAN
A,K,0.0,0.0004,0.0,0.0,True,sp|P09038|FGF2_HUMAN
B,K,0.0,0.0033,0.0,0.0001,True,sp|P09038|FGF2_HUMAN
A,B,-0.0001,0.0037,-0.0002,-0.0,True,sp|P09543|CN37_HUMAN
A,K,-0.0002,0.0,-0.0003,-0.0001,True,sp|P09543|CN37_HUMAN
B,K,-0.0001,0.2932,-0.0001,0.0,False,sp|P09543|CN37_HUMAN
A,B,-0.0001,0.0422,-0.0002,-0.0,True,sp|P10321|HLAC_HUMAN
A,K,-0.0002,0.0024,-0.0003,-0.0001,True,sp|P10321|HLAC_HUMAN
B,K,-0.0001,0.565,-0.0002,0.0001,False,sp|P10321|HLAC_HUMAN
A,B,-0.0003,0.0003,-0.0005,-0.0001,True,sp|P11021|BIP_HUMAN
A,K,-0.0,0.9794,-0.0002,0.0002,False,sp|P11021|BIP_HUMAN
B,K,0.0003,0.0005,0.0001,0.0005,True,sp|P11021|BIP_HUMAN
A,B,-0.0,0.001,-0.0001,-0.0,True,sp|P11279|LAMP1_HUMAN
A,K,-0.0,0.7753,-0.0,0.0,False,sp|P11279|LAMP1_HUMAN
B,K,0.0,0.007,0.0,0.0001,True,sp|P11279|LAMP1_HUMAN
A,B,-0.0,0.5163,-0.0001,0.0,False,sp|P11908|PRPS2_HUMAN
A,K,0.0,0.0288,0.0,0.0001,True,sp|P11908|PRPS2_HUMAN
B,K,0.0001,0.0014,0.0,0.0001,True,sp|P11908|PRPS2_HUMAN
A,B,-0.0002,0.0016,-0.0003,-0.0001,True,sp|P12236|ADT3_HUMAN
A,K,-0.0,0.9085,-0.0001,0.0001,False,sp|P12236|ADT3_HUMAN
B,K,0.0001,0.0053,0.0,0.0002,True,sp|P12236|ADT3_HUMAN
A,B,0.0,0.6712,-0.0001,0.0001,False,sp|P12277|KCRB_HUMAN
A,K,-0.0001,0.0054,-0.0002,-0.0,True,sp|P12277|KCRB_HUMAN
B,K,-0.0001,0.0008,-0.0002,-0.0001,True,sp|P12277|KCRB_HUMAN
A,B,0.0,0.2142,-0.0,0.0,False,sp|P12524|MYCL_HUMAN
A,K,0.0,0.0011,0.0,0.0,True,sp|P12524|MYCL_HUMAN
B,K,0.0,0.0477,0.0,0.0,True,sp|P12524|MYCL_HUMAN
A,B,-0.0002,0.0116,-0.0004,-0.0,True,sp|P13164|IFM1_HUMAN
A,K,-0.0002,0.0026,-0.0004,-0.0001,True,sp|P13164|IFM1_HUMAN
B,K,-0.0,0.9674,-0.0002,0.0001,False,sp|P13164|IFM1_HUMAN
A,B,-0.0001,0.01,-0.0001,-0.0,True,sp|P13473|LAMP2_HUMAN
A,K,0.0,0.6504,-0.0,0.0001,False,sp|P13473|LAMP2_HUMAN
B,K,0.0001,0.0008,0.0,0.0001,True,sp|P13473|LAMP2_HUMAN
A,B,-0.0,0.7284,-0.0001,0.0,False,sp|P13995|MTDC_HUMAN
A,K,0.0,0.0208,0.0,0.0001,True,sp|P13995|MTDC_HUMAN
B,K,0.0001,0.0027,0.0,0.0001,True,sp|P13995|MTDC_HUMAN
A,B,-0.0001,0.0026,-0.0001,-0.0,True,sp|P15502|ELN_HUMAN
A,K,-0.0,0.335,-0.0001,0.0,False,sp|P15502|ELN_HUMAN
B,K,0.0001,0.0495,0.0,0.0001,True,sp|P15502|ELN_HUMAN
A,B,0.0,0.806,-0.0,0.0001,False,sp|P16989|YBOX3_HUMAN
A,K,0.0001,0.0001,0.0,0.0001,True,sp|P16989|YBOX3_HUMAN
B,K,0.0001,0.0009,0.0,0.0001,True,sp|P16989|YBOX3_HUMAN
A,B,-0.0,0.935,-0.0,0.0,False,sp|P19320|VCAM1_HUMAN
A,K,0.0,0.0018,0.0,0.0001,True,sp|P19320|VCAM1_HUMAN
B,K,0.0,0.0059,0.0,0.0001,True,sp|P19320|VCAM1_HUMAN
A,B,-0.0001,0.0025,-0.0001,-0.0,True,sp|P19525|E2AK2_HUMAN
A,K,-0.0001,0.0,-0.0002,-0.0001,True,sp|P19525|E2AK2_HUMAN
B,K,-0.0,0.1833,-0.0001,0.0,False,sp|P19525|E2AK2_HUMAN
A,B,0.0,0.3311,-0.0,0.0001,False,sp|P20933|ASPG_HUMAN
A,K,0.0001,0.0023,0.0,0.0001,True,sp|P20933|ASPG_HUMAN
B,K,0.0001,0.0016,0.0,0.0001,True,sp|P20933|ASPG_HUMAN
A,B,0.0,0.7165,-0.0,0.0001,False,sp|P21108|PRPS3_HUMAN
A,K,0.0001,0.0036,0.0,0.0001,True,sp|P21108|PRPS3_HUMAN
B,K,0.0001,0.0092,0.0,0.0001,True,sp|P21108|PRPS3_HUMAN
A,B,0.0,0.4403,-0.0,0.0,False,sp|P21127|CD11B_HUMAN
A,K,-0.0,0.0208,-0.0001,-0.0,True,sp|P21127|CD11B_HUMAN
B,K,-0.0,0.0008,-0.0001,-0.0,True,sp|P21127|CD11B_HUMAN
A,B,0.0,0.0649,-0.0,0.0001,False,sp|P23193|TCEA1_HUMAN
A,K,-0.0,0.0205,-0.0001,-0.0,True,sp|P23193|TCEA1_HUMAN
B,K,-0.0001,0.0,-0.0001,-0.0,True,sp|P23193|TCEA1_HUMAN
A,B,-0.0002,0.0193,-0.0005,-0.0,True,sp|P23381|SYWC_HUMAN
A,K,-0.0004,0.0003,-0.0006,-0.0002,True,sp|P23381|SYWC_HUMAN
B,K,-0.0001,0.303,-0.0003,0.0001,False,sp|P23381|SYWC_HUMAN
A,B,-0.0,0.0487,-0.0,-0.0,True,sp|P23497|SP100_HUMAN
A,K,-0.0001,0.0,-0.0001,-0.0,True,sp|P23497|SP100_HUMAN
B,K,-0.0,0.0003,-0.0001,-0.0,True,sp|P23497|SP100_HUMAN
A,B,-0.0,0.0,-0.0,-0.0,True,sp|P24310|CX7A1_HUMAN
A,K,-0.0,0.0001,-0.0,-0.0,True,sp|P24310|CX7A1_HUMAN
B,K,0.0,0.0688,-0.0,0.0,False,sp|P24310|CX7A1_HUMAN
A,B,-0.0,0.0364,-0.0001,-0.0,True,sp|P24821|TENA_HUMAN
A,K,-0.0001,0.0,-0.0002,-0.0001,True,sp|P24821|TENA_HUMAN
B,K,-0.0001,0.0,-0.0001,-0.0,True,sp|P24821|TENA_HUMAN
A,B,-0.0,0.75,-0.0001,0.0,False,sp|P25445|TNR6_HUMAN
A,K,-0.0001,0.0006,-0.0002,-0.0,True,sp|P25445|TNR6_HUMAN
B,K,-0.0001,0.0101,-0.0002,-0.0,True,sp|P25445|TNR6_HUMAN
A,B,-0.0,0.7362,-0.0,0.0,False,sp|P26012|ITB8_HUMAN
A,K,0.0,0.0,0.0,0.0,True,sp|P26012|ITB8_HUMAN
B,K,0.0,0.0,0.0,0.0,True,sp|P26012|ITB8_HUMAN
A,B,0.0001,0.0033,0.0,0.0002,True,sp|P26373|RL13_HUMAN
A,K,-0.0,0.3196,-0.0001,0.0,False,sp|P26373|RL13_HUMAN
B,K,-0.0001,0.0,-0.0002,-0.0001,True,sp|P26373|RL13_HUMAN
