group1,group2,meandiff,p-adj,lower,upper,reject,dbname
A,B,0.0001,0.0051,0.0,0.0001,True,sp|P50225|ST1A1_HUMAN
A,K,-0.0,0.9982,-0.0001,0.0001,False,sp|P50225|ST1A1_HUMAN
B,K,-0.0001,0.0047,-0.0001,-0.0,True,sp|P50225|ST1A1_HUMAN
A,B,-0.0,0.5526,-0.0001,0.0,False,sp|P50402|EMD_HUMAN
A,K,0.0001,0.0081,0.0,0.0001,True,sp|P50402|EMD_HUMAN
B,K,0.0001,0.0004,0.0,0.0001,True,sp|P50402|EMD_HUMAN
A,B,-0.0001,0.0007,-0.0002,-0.0,True,sp|P50897|PPT1_HUMAN
A,K,-0.0001,0.0397,-0.0001,-0.0,True,sp|P50897|PPT1_HUMAN
B,K,0.0,0.3042,-0.0,0.0001,False,sp|P50897|PPT1_HUMAN
A,B,0.0,0.7567,-0.0,0.0001,False,sp|P51571|SSRD_HUMAN
A,K,0.0001,0.0018,0.0,0.0001,True,sp|P51571|SSRD_HUMAN
B,K,0.0001,0.0132,0.0,0.0001,True,sp|P51571|SSRD_HUMAN
A,B,-0.0,0.0055,-0.0,-0.0,True,sp|P51784|UBP11_HUMAN
A,K,-0.0,0.0004,-0.0,-0.0,True,sp|P51784|UBP11_HUMAN
B,K,-0.0,0.6196,-0.0,0.0,False,sp|P51784|UBP11_HUMAN
A,B,0.0,0.2432,-0.0,0.0001,False,sp|P53618|COPB_HUMAN
A,K,-0.0,0.1003,-0.0001,0.0,False,sp|P53618|COPB_HUMAN
B,K,-0.0001,0.0016,-0.0001,-0.0,True,sp|P53618|COPB_HUMAN
A,B,0.0001,0.0166,0.0,0.0002,True,sp|P53999|TCP4_HUMAN
A,K,-0.0001,0.0092,-0.0002,-0.0,True,sp|P53999|TCP4_HUMAN
B,K,-0.0002,0.0,-0.0003,-0.0001,True,sp|P53999|TCP4_HUMAN
A,B,-0.0001,0.001,-0.0001,-0.0,True,sp|P54652|HSP72_HUMAN
A,K,0.0,0.8116,-0.0,0.0001,False,sp|P54652|HSP72_HUMAN
B,K,0.0001,0.0002,0.0,0.0002,True,sp|P54652|HSP72_HUMAN
A,B,-0.0001,0.0022,-0.0002,-0.0,True,sp|P55072|TERA_HUMAN
A,K,-0.0,0.9138,-0.0001,0.0001,False,sp|P55072|TERA_HUMAN
B,K,0.0001,0.0067,0.0,0.0002,True,sp|P55072|TERA_HUMAN
A,B,-0.0001,0.0007,-0.0001,-0.0,True,sp|P55265|DSRAD_HUMAN
A,K,-0.0001,0.0002,-0.0001,-0.0,True,sp|P55265|DSRAD_HUMAN
B,K,-0.0,0.8776,-0.0,0.0,False,sp|P55265|DSRAD_HUMAN
A,B,0.0,0.8816,-0.0,0.0001,False,sp|P55854|SUMO3_HUMAN
A,K,0.0001,0.0026,0.0,0.0001,True,sp|P55854|SUMO3_HUMAN
B,K,0.0001,0.0083,0.0,0.0001,True,sp|P55854|SUMO3_HUMAN
A,B,-0.0001,0.0028,-0.0002,-0.0,True,sp|P56378|ATP68_HUMAN
A,K,-0.0002,0.0001,-0.0003,-0.0001,True,sp|P56378|ATP68_HUMAN
B,K,-0.0,0.4308,-0.0001,0.0,False,sp|P56378|ATP68_HUMAN
A,B,0.0,0.0441,0.0,0.0001,True,sp|P56545|CTBP2_HUMAN
A,K,-0.0,0.3111,-0.0,0.0,False,sp|P56545|CTBP2_HUMAN
B,K,-0.0,0.0007,-0.0001,-0.0,True,sp|P56545|CTBP2_HUMAN
A,B,0.0001,0.0315,0.0,0.0002,True,sp|P60842|IF4A1_HUMAN
A,K,-0.0001,0.1834,-0.0002,0.0,False,sp|P60842|IF4A1_HUMAN
B,K,-0.0002,0.0002,-0.0003,-0.0001,True,sp|P60842|IF4A1_HUMAN
A,B,-0.0,0.7124,-0.0001,0.0,False,sp|P60891|PRPS1_HUMAN
A,K,0.0001,0.0165,0.0,0.0001,True,sp|P60891|PRPS1_HUMAN
B,K,0.0001,0.0024,0.0,0.0002,True,sp|P60891|PRPS1_HUMAN
A,B,0.0001,0.0892,-0.0,0.0001,False,sp|P60981|DEST_HUMAN
A,K,-0.0001,0.1019,-0.0001,0.0,False,sp|P60981|DEST_HUMAN
B,K,-0.0001,0.0003,-0.0002,-0.0001,True,sp|P60981|DEST_HUMAN
A,B,0.0001,0.0032,0.0,0.0002,True,sp|P61160|ARP2_HUMAN
A,K,-0.0,0.9702,-0.0001,0.0001,False,sp|P61160|ARP2_HUMAN
B,K,-0.0001,0.0016,-0.0002,-0.0,True,sp|P61160|ARP2_HUMAN
A,B,0.0002,0.0001,0.0001,0.0003,True,sp|P61457|PHS_HUMAN
A,K,0.0001,0.1626,-0.0,0.0001,False,sp|P61457|PHS_HUMAN
B,K,-0.0002,0.0009,-0.0003,-0.0001,True,sp|P61457|PHS_HUMAN
A,B,-0.0,0.9966,-0.0001,0.0001,False,sp|P61513|RL37A_HUMAN
A,K,-0.0001,0.0019,-0.0001,-0.0,True,sp|P61513|RL37A_HUMAN
B,K,-0.0001,0.0023,-0.0001,-0.0,True,sp|P61513|RL37A_HUMAN
A,B,-0.0,0.3258,-0.0001,0.0,False,sp|P62277|RS13_HUMAN
A,K,0.0001,0.0008,0.0,0.0002,True,sp|P62277|RS13_HUMAN
B,K,0.0002,0.0,0.0001,0.0002,True,sp|P62277|RS13_HUMAN
A,B,-0.0,0.8627,-0.0001,0.0001,False,sp|P62312|LSM6_HUMAN
A,K,0.0001,0.0139,0.0,0.0001,True,sp|P62312|LSM6_HUMAN
B,K,0.0001,0.0019,0.0,0.0002,True,sp|P62312|LSM6_HUMAN
A,B,-0.0001,0.003,-0.0002,-0.0,True,sp|P62330|ARF6_HUMAN
A,K,-0.0001,0.0003,-0.0002,-0.0001,True,sp|P62330|ARF6_HUMAN
B,K,-0.0,0.7173,-0.0001,0.0,False,sp|P62330|ARF6_HUMAN
A,B,0.0001,0.0042,0.0,0.0001,True,sp|P62487|RPB7_HUMAN
A,K,-0.0,0.9413,-0.0,0.0,False,sp|P62487|RPB7_HUMAN
B,K,-0.0001,0.0033,-0.0001,-0.0,True,sp|P62487|RPB7_HUMAN
A,B,0.0003,0.0007,0.0001,0.0005,True,sp|P62736|ACTA_HUMAN
A,K,0.0002,0.0195,0.0,0.0004,True,sp|P62736|ACTA_HUMAN
B,K,-0.0001,0.4672,-0.0003,0.0001,False,sp|P62736|ACTA_HUMAN
A,B,-0.0,0.9876,-0.0001,0.0001,False,sp|P62857|RS28_HUMAN
A,K,0.0002,0.0066,0.0,0.0003,True,sp|P62857|RS28_HUMAN
B,K,0.0002,0.0043,0.0,0.0003,True,sp|P62857|RS28_HUMAN
A,B,0.0,0.8864,-0.0,0.0001,False,sp|P62899|RL31_HUMAN
A,K,0.0001,0.003,0.0,0.0001,True,sp|P62899|RL31_HUMAN
B,K,0.0001,0.0109,0.0,0.0001,True,sp|P62899|RL31_HUMAN
A,B,0.0004,0.0071,0.0001,0.0007,True,sp|P63313|TYB10_HUMAN
A,K,-0.0,0.9167,-0.0003,0.0002,False,sp|P63313|TYB10_HUMAN
B,K,-0.0004,0.0023,-0.0007,-0.0001,True,sp|P63313|TYB10_HUMAN
A,B,0.0001,0.4135,-0.0001,0.0002,False,sp|P67809|YBOX1_HUMAN
A,K,0.0002,0.0011,0.0001,0.0003,True,sp|P67809|YBOX1_HUMAN
B,K,0.0001,0.0347,0.0,0.0002,True,sp|P67809|YBOX1_HUMAN
A,B,-0.0,0.6466,-0.0,0.0,False,sp|P78318|IGBP1_HUMAN
A,K,0.0,0.0068,0.0,0.0001,True,sp|P78318|IGBP1_HUMAN
B,K,0.0,0.0007,0.0,0.0001,True,sp|P78318|IGBP1_HUMAN
A,B,-0.0,0.0027,-0.0001,-0.0,True,sp|P84022|SMAD3_HUMAN
A,K,-0.0,0.3855,-0.0,0.0,False,sp|P84022|SMAD3_HUMAN
B,K,0.0,0.0173,0.0,0.0001,True,sp|P84022|SMAD3_HUMAN
A,B,0.0001,0.0003,0.0,0.0002,True,sp|P84098|RL19_HUMAN
A,K,0.0001,0.0,0.0001,0.0002,True,sp|P84098|RL19_HUMAN
B,K,0.0,0.7707,-0.0,0.0001,False,sp|P84098|RL19_HUMAN
A,B,-0.0002,0.0001,-0.0002,-0.0001,True,sp|P98095|FBLN2_HUMAN
A,K,-0.0002,0.0,-0.0002,-0.0001,True,sp|P98095|FBLN2_HUMAN
B,K,-0.0,0.9031,-0.0001,0.0,False,sp|P98095|FBLN2_HUMAN
A,B,-0.0001,0.0011,-0.0001,-0.0,True,sp|Q00587|BORG5_HUMAN
A,K,-0.0001,0.0151,-0.0001,-0.0,True,sp|Q00587|BORG5_HUMAN
B,K,0.0,0.2334,-0.0,0.0001,False,sp|Q00587|BORG5_HUMAN
A,B,-0.0,0.0144,-0.0,-0.0,True,sp|Q01650|LAT1_HUMAN
A,K,0.0,0.4664,-0.0,0.0,False,sp|Q01650|LAT1_HUMAN
B,K,0.0,0.0005,0.0,0.0001,True,sp|Q01650|LAT1_HUMAN
A,B,0.0,0.0018,0.0,0.0001,True,sp|Q01780|EXOSX_HUMAN
A,K,0.0,0.9681,-0.0,0.0,False,sp|Q01780|EXOSX_HUMAN
B,K,-0.0,0.003,-0.0001,-0.0,True,sp|Q01780|EXOSX_HUMAN
A,B,-0.0,0.0028,-0.0001,-0.0,True,sp|Q03169|TNAP2_HUMAN
A,K,-0.0,0.0047,-0.0001,-0.0,True,sp|Q03169|TNAP2_HUMAN
B,K,-0.0,0.9999,-0.0,0.0,False,sp|Q03169|TNAP2_HUMAN
A,B,-0.0001,0.0001,-0.0002,-0.0001,True,sp|Q03518|TAP1_HUMAN
A,K,-0.0001,0.0004,-0.0002,-0.0,True,sp|Q03518|TAP1_HUMAN
B,K,0.0,0.8373,-0.0001,0.0001,False,sp|Q03518|TAP1_HUMAN
A,B,-0.0001,0.0001,-0.0002,-0.0001,True,sp|Q03519|TAP2_HUMAN
A,K,-0.0001,0.0002,-0.0002,-0.0001,True,sp|Q03519|TAP2_HUMAN
B,K,0.0,0.9554,-0.0001,0.0001,False,sp|Q03519|TAP2_HUMAN
A,B,-0.0,0.0015,-0.0,-0.0,True,sp|Q05707|COEA1_HUMAN
A,K,-0.0,0.9124,-0.0,0.0,False,sp|Q05707|COEA1_HUMAN
B,K,0.0,0.0047,0.0,0.0,True,sp|Q05707|COEA1_HUMAN
A,B,-0.0,0.0,-0.0,-0.0,True,sp|Q06330|SUH_HUMAN
A,K,-0.0,0.9324,-0.0,0.0,False,sp|Q06330|SUH_HUMAN
B,K,0.0,0.0,0.0,0.0,True,sp|Q06330|SUH_HUMAN
A,B,-0.0002,0.0034,-0.0003,-0.0001,True,sp|Q07021|C1QBP_HUMAN
A,K,-0.0,0.8714,-0.0002,0.0001,False,sp|Q07021|C1QBP_HUMAN
B,K,0.0002,0.0131,0.0,0.0003,True,sp|Q07021|C1QBP_HUMAN
A,B,-0.0001,0.0002,-0.0001,-0.0,True,sp|Q08380|LG3BP_HUMAN
A,K,-0.0001,0.0,-0.0002,-0.0001,True,sp|Q08380|LG3BP_HUMAN
B,K,-0.0,0.0497,-0.0001,-0.0,True,sp|Q08380|LG3BP_HUMAN
A,B,-0.0,0.0138,-0.0,-0.0,True,sp|Q08AF3|SLFN5_HUMAN
A,K,-0.0,0.0003,-0.0001,-0.0,True,sp|Q08AF3|SLFN5_HUMAN
B,K,-0.0,0.3568,-0.0,0.0,False,sp|Q08AF3|SLFN5_HUMAN
A,B,-0.0001,0.0015,-0.0001,-0.0,True,sp|Q12797|ASPH_HUMAN
A,K,-0.0,0.323,-0.0001,0.0,False,sp|Q12797|ASPH_HUMAN
B,K,0.0,0.0682,-0.0,0.0001,False,sp|Q12797|ASPH_HUMAN
A,B,-0.0001,0.0003,-0.0001,-0.0,True,sp|Q12841|FSTL1_HUMAN
A,K,0.0,0.9812,-0.0,0.0001,False,sp|Q12841|FSTL1_HUMAN
B,K,0.0001,0.0002,0.0,0.0001,True,sp|Q12841|FSTL1_HUMAN
A,B,-0.0,0.1307,-0.0001,0.0,False,sp|Q13190|STX5_HUMAN
A,K,0.0,0.0166,0.0,0.0001,True,sp|Q13190|STX5_HUMAN
B,K,0.0001,0.0,0.0,0.0001,True,sp|Q13190|STX5_HUMAN
A,B,0.0001,0.0016,0.0,0.0002,True,sp|Q13287|NMI_HUMAN
A,K,-0.0001,0.1863,-0.0001,0.0,False,sp|Q13287|NMI_HUMAN
B,K,-0.0002,0.0003,-0.0003,-0.0001,True,sp|Q13287|NMI_HUMAN
A,B,0.0001,0.0007,0.0001,0.0002,True,sp|Q13325|IFIT5_HUMAN
A,K,-0.0,0.1952,-0.0001,0.0,False,sp|Q13325|IFIT5_HUMAN
B,K,-0.0002,0.0001,-0.0003,-0.0001,True,sp|Q13325|IFIT5_HUMAN
A,B,0.0,0.0025,0.0,0.0001,True,sp|Q13451|FKBP5_HUMAN
A,K,0.0,0.0253,0.0,0.0,True,sp|Q13451|FKBP5_HUMAN
B,K,-0.0,0.2279,-0.0,0.0,False,sp|Q13451|FKBP5_HUMAN
A,B,0.0,0.0023,0.0,0.0001,True,sp|Q13610|PWP1_HUMAN
A,K,-0.0,0.1773,-0.0,0.0,False,sp|Q13610|PWP1_HUMAN
B,K,-0.0,0.0,-0.0001,-0.0,True,sp|Q13610|PWP1_HUMAN
A,B,0.0001,0.0011,0.0001,0.0002,True,sp|Q14116|IL18_HUMAN
A,K,0.0,0.8017,-0.0001,0.0001,False,sp|Q14116|IL18_HUMAN
B,K,-0.0001,0.0022,-0.0002,-0.0001,True,sp|Q14116|IL18_HUMAN
A,B,0.0,0.0009,0.0,0.0001,True,sp|Q14152|EIF3A_HUMAN
A,K,0.0,0.1729,-0.0,0.0,False,sp|Q14152|EIF3A_HUMAN
B,K,-0.0,0.1052,-0.0,0.0,False,sp|Q14152|EIF3A_HUMAN
A,B,0.0,0.1692,-0.0,0.0001,False,sp|Q14165|MLEC_HUMAN
A,K,0.0001,0.0001,0.0,0.0001,True,sp|Q14165|MLEC_HUMAN
B,K,0.0,0.0199,0.0,0.0001,True,sp|Q14165|MLEC_HUMAN
A,B,-0.0,0.0712,-0.0,0.0,False,sp|Q14643|ITPR1_HUMAN
A,K,0.0,0.0039,0.0,0.0,True,sp|Q14643|ITPR1_HUMAN
B,K,0.0,0.0003,0.0,0.0,True,sp|Q14643|ITPR1_HUMAN
A,B,0.0001,0.0019,0.0,0.0001,True,sp|Q15056|IF4H_HUMAN
A,K,0.0001,0.0022,0.0,0.0001,True,sp|Q15056|IF4H_HUMAN
B,K,-0.0,0.998,-0.0,0.0,False,sp|Q15056|IF4H_HUMAN
A,B,0.0001,0.0015,0.0,0.0002,True,sp|Q15417|CNN3_HUMAN
A,K,0.0,0.5031,-0.0,0.0001,False,sp|Q15417|CNN3_HUMAN
B,K,-0.0001,0.0308,-0.0002,-0.0,True,sp|Q15417|CNN3_HUMAN
A,B,-0.0001,0.0031,-0.0002,-0.0,True,sp|Q15646|OASL_HUMAN
A,K,-0.0001,0.0048,-0.0002,-0.0,True,sp|Q15646|OASL_HUMAN
B,K,-0.0,0.6658,-0.0001,0.0001,False,sp|Q15646|OASL_HUMAN
A,B,-0.0002,0.0053,-0.0004,-0.0001,True,sp|Q15651|HMGN3_HUMAN
A,K,0.0001,0.1561,-0.0,0.0002,False,sp|Q15651|HMGN3_HUMAN
B,K,0.0003,0.0006,0.0002,0.0005,True,sp|Q15651|HMGN3_HUMAN
A,B,0.0,0.9995,-0.0,0.0,False,sp|Q16186|ADRM1_HUMAN
A,K,-0.0,0.002,-0.0001,-0.0,True,sp|Q16186|ADRM1_HUMAN
B,K,-0.0,0.0018,-0.0001,-0.0,True,sp|Q16186|ADRM1_HUMAN
A,B,-0.0,0.2294,-0.0,0.0,False,sp|Q16363|LAMA4_HUMAN
A,K,0.0,0.039,0.0,0.0,True,sp|Q16363|LAMA4_HUMAN
B,K,0.0,0.0025,0.0,0.0,True,sp|Q16363|LAMA4_HUMAN
A,B,-0.0001,0.0,-0.0001,-0.0,True,sp|Q16850|CP51A_HUMAN
A,K,-0.0001,0.0008,-0.0001,-0.0,True,sp|Q16850|CP51A_HUMAN
B,K,0.0,0.602,-0.0,0.0,False,sp|Q16850|CP51A_HUMAN
A,B,-0.0,0.0004,-0.0001,-0.0,True,sp|Q2TAA5|ALG11_HUMAN
A,K,-0.0,0.0002,-0.0001,-0.0,True,sp|Q2TAA5|ALG11_HUMAN
B,K,-0.0,0.9916,-0.0,0.0,False,sp|Q2TAA5|ALG11_HUMAN
A,B,-0.0,0.0014,-0.0,-0.0,True,sp|Q2TAL8|QRIC1_HUMAN
A,K,-0.0,0.0039,-0.0,-0.0,True,sp|Q2TAL8|QRIC1_HUMAN
B,K,-0.0,0.8169,-0.0,0.0,False,sp|Q2TAL8|QRIC1_HUMAN
A,B,-0.0,0.9606,-0.0,0.0,False,sp|Q3LXA3|TKFC_HUMAN
A,K,0.0001,0.0033,0.0,0.0001,True,sp|Q3LXA3|TKFC_HUMAN
B,K,0.0001,0.0012,0.0,0.0001,True,sp|Q3LXA3|TKFC_HUMAN
A,B,-0.0001,0.0309,-0.0002,-0.0,True,sp|Q5JNZ5|RS26L_HUMAN
A,K,-0.0002,0.0004,-0.0003,-0.0001,True,sp|Q5JNZ5|RS26L_HUMAN
B,K,-0.0001,0.0728,-0.0002,0.0,False,sp|Q5JNZ5|RS26L_HUMAN
A,B,-0.0,0.0001,-0.0,-0.0,True,sp|Q5JRA6|TGO1_HUMAN
A,K,-0.0,0.877,-0.0,0.0,False,sp|Q5JRA6|TGO1_HUMAN
B,K,0.0,0.0006,0.0,0.0,True,sp|Q5JRA6|TGO1_HUMAN
A,B,-0.0,0.0005,-0.0001,-0.0,True,sp|Q5K651|SAMD9_HUMAN
A,K,-0.0001,0.0,-0.0001,-0.0001,True,sp|Q5K651|SAMD9_HUMAN
B,K,-0.0,0.0108,-0.0001,-0.0,True,sp|Q5K651|SAMD9_HUMAN
A,B,-0.0001,0.0004,-0.0001,-0.0,True,sp|Q5SSJ5|HP1B3_HUMAN
A,K,-0.0001,0.0011,-0.0001,-0.0,True,sp|Q5SSJ5|HP1B3_HUMAN
B,K,0.0,0.9366,-0.0,0.0,False,sp|Q5SSJ5|HP1B3_HUMAN
A,B,-0.0,0.0002,-0.0,-0.0,True,sp|Q5SW96|ARH_HUMAN
A,K,-0.0,0.0011,-0.0,-0.0,True,sp|Q5SW96|ARH_HUMAN
B,K,0.0,0.0689,-0.0,0.0,False,sp|Q5SW96|ARH_HUMAN
A,B,0.0,0.0048,0.0,0.0001,True,sp|Q5T9L3|WLS_HUMAN
A,K,-0.0,0.6547,-0.0,0.0,False,sp|Q5T9L3|WLS_HUMAN
B,K,-0.0,0.0004,-0.0001,-0.0,True,sp|Q5T9L3|WLS_HUMAN
A,B,0.0,0.9139,-0.0,0.0,False,sp|Q5TC12|ATPF1_HUMAN
A,K,0.0,0.0013,0.0,0.0,True,sp|Q5TC12|ATPF1_HUMAN
B,K,0.0,0.0021,0.0,0.0,True,sp|Q5TC12|ATPF1_HUMAN
A,B,-0.0,0.0088,-0.0001,-0.0,True,sp|Q68CQ7|GL8D1_HUMAN
A,K,-0.0,0.0009,-0.0001,-0.0,True,sp|Q68CQ7|GL8D1_HUMAN
B,K,-0.0,0.5558,-0.0,0.0,False,sp|Q68CQ7|GL8D1_HUMAN
A,B,-0.0,0.4477,-0.0001,0.0,False,sp|Q6DN03|H2B2C_HUMAN
A,K,0.0001,0.014,0.0,0.0001,True,sp|Q6DN03|H2B2C_HUMAN
B,K,0.0001,0.0026,0.0,0.0002,True,sp|Q6DN03|H2B2C_HUMAN
A,B,0.0,0.0002,0.0,0.0,True,sp|Q7L5D6|GET4_HUMAN
A,K,0.0,0.0719,-0.0,0.0,False,sp|Q7L5D6|GET4_HUMAN
B,K,-0.0,0.0495,-0.0,-0.0,True,sp|Q7L5D6|GET4_HUMAN
A,B,-0.0,0.01,-0.0,-0.0,True,sp|Q7Z2K6|ERMP1_HUMAN
A,K,-0.0,0.0034,-0.0,-0.0,True,sp|Q7Z2K6|ERMP1_HUMAN
B,K,-0.0,0.8869,-0.0,0.0,False,sp|Q7Z2K6|ERMP1_HUMAN
A,B,-0.0001,0.0,-0.0001,-0.0,True,sp|Q7Z2W4|ZCCHV_HUMAN
A,K,-0.0001,0.0,-0.0001,-0.0001,True,sp|Q7Z2W4|ZCCHV_HUMAN
B,K,-0.0,0.0764,-0.0001,0.0,False,sp|Q7Z2W4|ZCCHV_HUMAN
A,B,-0.0,0.0035,-0.0001,-0.0,True,sp|Q7Z3K3|POGZ_HUMAN
A,K,-0.0,0.0142,-0.0,-0.0,True,sp|Q7Z3K3|POGZ_HUMAN
B,K,0.0,0.7712,-0.0,0.0,False,sp|Q7Z3K3|POGZ_HUMAN
A,B,0.0,0.3655,-0.0,0.0001,False,sp|Q7Z434|MAVS_HUMAN
A,K,0.0001,0.0002,0.0,0.0001,True,sp|Q7Z434|MAVS_HUMAN
B,K,0.0001,0.0119,0.0,0.0001,True,sp|Q7Z434|MAVS_HUMAN
A,B,0.0,0.0003,0.0,0.0,True,sp|Q86SK9|SCD5_HUMAN
A,K,0.0,0.4883,-0.0,0.0,False,sp|Q86SK9|SCD5_HUMAN
B,K,-0.0,0.0007,-0.0,-0.0,True,sp|Q86SK9|SCD5_HUMAN
A,B,0.0,0.003,0.0,0.0,True,sp|Q86U86|PB1_HUMAN
A,K,0.0,0.9035,-0.0,0.0,False,sp|Q86U86|PB1_HUMAN
B,K,-0.0,0.0012,-0.0,-0.0,True,sp|Q86U86|PB1_HUMAN
A,B,-0.0001,0.0068,-0.0001,-0.0,True,sp|Q86YS6|RAB43_HUMAN
A,K,-0.0001,0.0009,-0.0001,-0.0,True,sp|Q86YS6|RAB43_HUMAN
B,K,-0.0,0.5445,-0.0001,0.0,False,sp|Q86YS6|RAB43_HUMAN
A,B,-0.0001,0.0,-0.0001,-0.0001,True,sp|Q8IVL6|P3H3_HUMAN
A,K,-0.0001,0.0003,-0.0001,-0.0,True,sp|Q8IVL6|P3H3_HUMAN
B,K,0.0,0.3717,-0.0,0.0001,False,sp|Q8IVL6|P3H3_HUMAN
A,B,-0.0,0.0426,-0.0,-0.0,True,sp|Q8IXI2|MIRO1_HUMAN
A,K,-0.0,0.002,-0.0,-0.0,True,sp|Q8IXI2|MIRO1_HUMAN
B,K,-0.0,0.4858,-0.0,0.0,False,sp|Q8IXI2|MIRO1_HUMAN
A,B,0.0001,0.0125,0.0,0.0001,True,sp|Q8IYD1|ERF3B_HUMAN
A,K,-0.0,0.2729,-0.0001,0.0,False,sp|Q8IYD1|ERF3B_HUMAN
B,K,-0.0001,0.0027,-0.0002,-0.0,True,sp|Q8IYD1|ERF3B_HUMAN
A,B,-0.0,0.1976,-0.0,0.0,False,sp|Q8IYM9|TRI22_HUMAN
A,K,-0.0001,0.0002,-0.0001,-0.0,True,sp|Q8IYM9|TRI22_HUMAN
B,K,-0.0,0.0427,-0.0001,-0.0,True,sp|Q8IYM9|TRI22_HUMAN
A,B,0.0,0.0029,0.0,0.0,True,sp|Q8N0U8|VKORL_HUMAN
A,K,-0.0,0.9304,-0.0,0.0,False,sp|Q8N0U8|VKORL_HUMAN
B,K,-0.0,0.0013,-0.0,-0.0,True,sp|Q8N0U8|VKORL_HUMAN
A,B,-0.0,0.0047,-0.0,-0.0,True,sp|Q8N1G2|CMTR1_HUMAN
A,K,-0.0,0.0007,-0.0001,-0.0,True,sp|Q8N1G2|CMTR1_HUMAN
B,K,-0.0,0.5812,-0.0,0.0,False,sp|Q8N1G2|CMTR1_HUMAN
A,B,0.0,0.0054,0.0,0.0,True,sp|Q8N442|GUF1_HUMAN
A,K,0.0,0.9937,-0.0,0.0,False,sp|Q8N442|GUF1_HUMAN
B,K,-0.0,0.0048,-0.0,-0.0,True,sp|Q8N442|GUF1_HUMAN
A,B,0.0001,0.0002,0.0001,0.0001,True,sp|Q8NBQ5|DHB11_HUMAN
A,K,0.0,0.9635,-0.0,0.0,False,sp|Q8NBQ5|DHB11_HUMAN
B,K,-0.0001,0.0014,-0.0001,-0.0,True,sp|Q8NBQ5|DHB11_HUMAN
A,B,-0.0,0.9401,-0.0,0.0,False,sp|Q8NEZ2|VP37A_HUMAN
A,K,0.0,0.0005,0.0,0.0,True,sp|Q8NEZ2|VP37A_HUMAN
B,K,0.0,0.0039,0.0,0.0001,True,sp|Q8NEZ2|VP37A_HUMAN
A,B,0.0001,0.0023,0.0,0.0001,True,sp|Q8NFI4|F10A5_HUMAN
A,K,0.0,0.9666,-0.0,0.0,False,sp|Q8NFI4|F10A5_HUMAN
B,K,-0.0001,0.0014,-0.0001,-0.0,True,sp|Q8NFI4|F10A5_HUMAN
A,B,-0.0001,0.0055,-0.0001,-0.0,True,sp|Q8NFQ8|TOIP2_HUMAN
A,K,0.0,0.8066,-0.0,0.0001,False,sp|Q8NFQ8|TOIP2_HUMAN
B,K,0.0001,0.0009,0.0,0.0001,True,sp|Q8NFQ8|TOIP2_HUMAN
A,B,0.0001,0.5038,-0.0001,0.0002,False,sp|Q8NI22|MCFD2_HUMAN
A,K,-0.0001,0.0355,-0.0002,-0.0,True,sp|Q8NI22|MCFD2_HUMAN
B,K,-0.0002,0.0017,-0.0003,-0.0001,True,sp|Q8NI22|MCFD2_HUMAN
A,B,-0.0,0.4315,-0.0,0.0,False,sp|Q8TB61|S35B2_HUMAN
A,K,0.0,0.0024,0.0,0.0,True,sp|Q8TB61|S35B2_HUMAN
B,K,0.0,0.0001,0.0,0.0001,True,sp|Q8TB61|S35B2_HUMAN
A,B,-0.0001,0.0091,-0.0001,-0.0,True,sp|Q8TCS8|PNPT1_HUMAN
A,K,-0.0001,0.0,-0.0002,-0.0001,True,sp|Q8TCS8|PNPT1_HUMAN
B,K,-0.0001,0.0364,-0.0001,-0.0,True,sp|Q8TCS8|PNPT1_HUMAN
A,B,0.0,0.6234,-0.0,0.0001,False,sp|Q8TDB6|DTX3L_HUMAN
A,K,-0.0001,0.0065,-0.0001,-0.0,True,sp|Q8TDB6|DTX3L_HUMAN
B,K,-0.0001,0.0037,-0.0002,-0.0,True,sp|Q8TDB6|DTX3L_HUMAN
A,B,0.0,0.0009,0.0,0.0,True,sp|Q8WVM0|TFB1M_HUMAN
A,K,0.0,0.5045,-0.0,0.0,False,sp|Q8WVM0|TFB1M_HUMAN
B,K,-0.0,0.0152,-0.0,-0.0,True,sp|Q8WVM0|TFB1M_HUMAN
A,B,-0.0,0.0208,-0.0,-0.0,True,sp|Q8WVM7|STAG1_HUMAN
A,K,-0.0,0.0011,-0.0,-0.0,True,sp|Q8WVM7|STAG1_HUMAN
B,K,-0.0,0.1528,-0.0,0.0,False,sp|Q8WVM7|STAG1_HUMAN
A,B,-0.0,0.0005,-0.0,-0.0,True,sp|Q8WWI5|CTL1_HUMAN
A,K,-0.0,0.017,-0.0,-0.0,True,sp|Q8WWI5|CTL1_HUMAN
B,K,0.0,0.457,-0.0,0.0,False,sp|Q8WWI5|CTL1_HUMAN
A,B,-0.0002,0.0005,-0.0003,-0.0001,True,sp|Q8WXC6|CSN9_HUMAN
A,K,-0.0001,0.2804,-0.0002,0.0,False,sp|Q8WXC6|CSN9_HUMAN
B,K,0.0001,0.0252,0.0,0.0002,True,sp|Q8WXC6|CSN9_HUMAN
A,B,-0.0001,0.0002,-0.0001,-0.0,True,sp|Q92692|NECT2_HUMAN
A,K,-0.0001,0.0004,-0.0001,-0.0,True,sp|Q92692|NECT2_HUMAN
B,K,0.0,0.9847,-0.0,0.0,False,sp|Q92692|NECT2_HUMAN
A,B,-0.0001,0.0006,-0.0001,-0.0,True,sp|Q92791|SC65_HUMAN
